,Root,ProcessingDepth,FileDirPath,FileDirDepth,FileName,ExifArgs,DestRoot,FilePath,Size,ModifiedAt,InodeDev,Inode,CacheKey
5809,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.2.14 20170612_ARIZON_CYRILL_GLOOR_2017_Verl+дngerung.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.2.14 20170612_ARIZON_CYRILL_GLOOR_2017_Verl+дngerung.pdf,946698,1507811944.0,6985672059403080448,281474976744122,a7d774132f5d64bb49dea7a3f791bad2
5810,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.2.15 20170612_ARIZON_JAN_LUDESCHER_Verl+дngerung.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.2.15 20170612_ARIZON_JAN_LUDESCHER_Verl+дngerung.pdf,543307,1507811944.0,6985672059403080448,281474976744123,25aa46ac472dd877e2a618c149f91a28
5811,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.2.16 20170612_ARIZON_PASCAL_KRETZ_2017_Verl+дngerung.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.2.16 20170612_ARIZON_PASCAL_KRETZ_2017_Verl+дngerung.pdf,1177875,1507811944.0,6985672059403080448,281474976744124,8fb2f99ff4fe4b1bd6e0af298cafa965
5812,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.2.17 Abas Jusufi 23.03.2017_31.12.2017.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.2.17 Abas Jusufi 23.03.2017_31.12.2017.pdf,2254577,1507811944.0,6985672059403080448,281474976744125,514b42b8d39faa8b8ebab3947d31a8ca
5813,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.2.18 Alexander Fritz 01.01.2017_31.12.2017.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.2.18 Alexander Fritz 01.01.2017_31.12.2017.pdf,1250019,1507811946.0,6985672059403080448,281474976744126,fb196f0f6153c36417606aeaf28dc1f9
5814,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.2.19 Christian F+-rst 01.01.2017_31.12.2017.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.2.19 Christian F+-rst 01.01.2017_31.12.2017.pdf,1255058,1507811946.0,6985672059403080448,281474976744127,49a7d53f5559567568b9556d3f526d70
5815,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.2.20 Christian Surber 01.01.2017_31.12.2017.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.2.20 Christian Surber 01.01.2017_31.12.2017.pdf,1299982,1507811946.0,6985672059403080448,281474976744128,0f511198853bfcb018d8552d4af859ec
5816,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.2.21 Cyrill Gloor 01.01.2017_30.06.2017.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.2.21 Cyrill Gloor 01.01.2017_30.06.2017.pdf,1263739,1507811948.0,6985672059403080448,281474976744129,96fe89359a255e7efab446c84993e544
5817,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.2.22 Damian Kessler 01.01.2017_31.12.2017.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.2.22 Damian Kessler 01.01.2017_31.12.2017.pdf,1243849,1507811948.0,6985672059403080448,281474976744130,3b8e7e69b0db5e08862af31a8b92d006
5818,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.2.23 Dino Duelli 01.01.2017_31.12.2017.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.2.23 Dino Duelli 01.01.2017_31.12.2017.pdf,1245460,1507811948.0,6985672059403080448,281474976744131,adee6d952765775adb5e7b64ac097d57
5819,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.2.24 Hermann Linder 01.02.2017_31.12.2017.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.2.24 Hermann Linder 01.02.2017_31.12.2017.pdf,2060094,1507811950.0,6985672059403080448,281474976744132,a12e3dbefb477d01cae584ce984c11ec
